Naturaleza de la finca;Provincias;Duración en años;Número e importe;Periodo;Total
Fincas de secano;02 Albacete;Total;Importe de hipotecas;1995;12.507
Fincas de secano;02 Albacete;Total;Importe de hipotecas;1994;19.539
Fincas de secano;02 Albacete;Hasta 9 años;Número de hipotecas;2003;89
Fincas de secano;02 Albacete;Hasta 9 años;Número de hipotecas;2002;84
Fincas de secano;02 Albacete;Hasta 9 años;Número de hipotecas;2001;112
Fincas de secano;02 Albacete;Hasta 9 años;Número de hipotecas;2000;85
Fincas de secano;02 Albacete;Hasta 9 años;Número de hipotecas;1999;20
Fincas de secano;02 Albacete;Hasta 9 años;Número de hipotecas;1998;54
Fincas de secano;02 Albacete;Hasta 9 años;Número de hipotecas;1997;41
Fincas de secano;02 Albacete;Hasta 9 años;Número de hipotecas;1996;94
Fincas de secano;02 Albacete;Hasta 9 años;Número de hipotecas;1995;91
Fincas de secano;02 Albacete;Hasta 9 años;Número de hipotecas;1994;81
Fincas de secano;02 Albacete;Hasta 9 años;Importe de hipotecas;2003;14.346
Fincas de secano;02 Albacete;Hasta 9 años;Importe de hipotecas;2002;6.057
Fincas de secano;02 Albacete;Hasta 9 años;Importe de hipotecas;2001;5.677
Fincas de secano;02 Albacete;Hasta 9 años;Importe de hipotecas;2000;6.311
Fincas de secano;02 Albacete;Hasta 9 años;Importe de hipotecas;1999;1.196
Fincas de secano;02 Albacete;Hasta 9 años;Importe de hipotecas;1998;2.909
Fincas de secano;02 Albacete;Hasta 9 años;Importe de hipotecas;1997;3.504
Fincas de secano;02 Albacete;Hasta 9 años;Importe de hipotecas;1996;7.741
Fincas de secano;02 Albacete;Hasta 9 años;Importe de hipotecas;1995;2.909
Fincas de secano;02 Albacete;Hasta 9 años;Importe de hipotecas;1994;1.605
Fincas de secano;02 Albacete;De 10 a 15 años;Número de hipotecas;2003;150
Fincas de secano;02 Albacete;De 10 a 15 años;Número de hipotecas;2002;190
Fincas de secano;02 Albacete;De 10 a 15 años;Número de hipotecas;2001;172
Fincas de secano;02 Albacete;De 10 a 15 años;Número de hipotecas;2000;227
Fincas de secano;02 Albacete;De 10 a 15 años;Número de hipotecas;1999;137
Fincas de secano;02 Albacete;De 10 a 15 años;Número de hipotecas;1998;186
Fincas de secano;02 Albacete;De 10 a 15 años;Número de hipotecas;1997;160
Fincas de secano;02 Albacete;De 10 a 15 años;Número de hipotecas;1996;140
Fincas de secano;02 Albacete;De 10 a 15 años;Número de hipotecas;1995;185
Fincas de secano;02 Albacete;De 10 a 15 años;Número de hipotecas;1994;211
Fincas de secano;02 Albacete;De 10 a 15 años;Importe de hipotecas;2003;16.270
Fincas de secano;02 Albacete;De 10 a 15 años;Importe de hipotecas;2002;23.936
Fincas de secano;02 Albacete;De 10 a 15 años;Importe de hipotecas;2001;10.974
Fincas de secano;02 Albacete;De 10 a 15 años;Importe de hipotecas;2000;14.719
Fincas de secano;02 Albacete;De 10 a 15 años;Importe de hipotecas;1999;11.966
Fincas de secano;02 Albacete;De 10 a 15 años;Importe de hipotecas;1998;8.456
Fincas de secano;02 Albacete;De 10 a 15 años;Importe de hipotecas;1997;10.776
Fincas de secano;02 Albacete;De 10 a 15 años;Importe de hipotecas;1996;6.876
Fincas de secano;02 Albacete;De 10 a 15 años;Importe de hipotecas;1995;9.430
Fincas de secano;02 Albacete;De 10 a 15 años;Importe de hipotecas;1994;12.435
Fincas de secano;02 Albacete;Mayor de 15 años;Número de hipotecas;2003;72
Fincas de secano;02 Albacete;Mayor de 15 años;Número de hipotecas;2002;91
Fincas de secano;02 Albacete;Mayor de 15 años;Número de hipotecas;2001;59
Fincas de secano;02 Albacete;Mayor de 15 años;Número de hipotecas;2000;55
Fincas de secano;02 Albacete;Mayor de 15 años;Número de hipotecas;1999;35
Fincas de secano;02 Albacete;Mayor de 15 años;Número de hipotecas;1998;35
Fincas de secano;02 Albacete;Mayor de 15 años;Número de hipotecas;1997;24
Fincas de secano;02 Albacete;Mayor de 15 años;Número de hipotecas;1996;13
Fincas de secano;02 Albacete;Mayor de 15 años;Número de hipotecas;1995;3
Fincas de secano;02 Albacete;Mayor de 15 años;Número de hipotecas;1994;5
Fincas de secano;02 Albacete;Mayor de 15 años;Importe de hipotecas;2003;7.171
Fincas de secano;02 Albacete;Mayor de 15 años;Importe de hipotecas;2002;11.794
Fincas de secano;02 Albacete;Mayor de 15 años;Importe de hipotecas;2001;4.724
Fincas de secano;02 Albacete;Mayor de 15 años;Importe de hipotecas;2000;3.227
Fincas de secano;02 Albacete;Mayor de 15 años;Importe de hipotecas;1999;3.834
Fincas de secano;02 Albacete;Mayor de 15 años;Importe de hipotecas;1998;1.436
Fincas de secano;02 Albacete;Mayor de 15 años;Importe de hipotecas;1997;4.375
Fincas de secano;02 Albacete;Mayor de 15 años;Importe de hipotecas;1996;1.533
Fincas de secano;02 Albacete;Mayor de 15 años;Importe de hipotecas;1995;144
Fincas de secano;02 Albacete;Mayor de 15 años;Importe de hipotecas;1994;4.670
Fincas de secano;02 Albacete;No consta;Número de hipotecas;2003;""
Fincas de secano;02 Albacete;No consta;Número de hipotecas;2002;14
Fincas de secano;02 Albacete;No consta;Número de hipotecas;2001;7
Fincas de secano;02 Albacete;No consta;Número de hipotecas;2000;""
Fincas de secano;02 Albacete;No consta;Número de hipotecas;1999;4
Fincas de secano;02 Albacete;No consta;Número de hipotecas;1998;""
Fincas de secano;02 Albacete;No consta;Número de hipotecas;1997;2
Fincas de secano;02 Albacete;No consta;Número de hipotecas;1996;""
Fincas de secano;02 Albacete;No consta;Número de hipotecas;1995;4
Fincas de secano;02 Albacete;No consta;Número de hipotecas;1994;5
Fincas de secano;02 Albacete;No consta;Importe de hipotecas;2003;""
Fincas de secano;02 Albacete;No consta;Importe de hipotecas;2002;3.196
Fincas de secano;02 Albacete;No consta;Importe de hipotecas;2001;143
Fincas de secano;02 Albacete;No consta;Importe de hipotecas;2000;""
Fincas de secano;02 Albacete;No consta;Importe de hipotecas;1999;150
Fincas de secano;02 Albacete;No consta;Importe de hipotecas;1998;""
Fincas de secano;02 Albacete;No consta;Importe de hipotecas;1997;48
Fincas de secano;02 Albacete;No consta;Importe de hipotecas;1996;""
Fincas de secano;02 Albacete;No consta;Importe de hipotecas;1995;24
Fincas de secano;02 Albacete;No consta;Importe de hipotecas;1994;829
Fincas de secano;03 Alicante/Alacant;Total;Número de hipotecas;2003;784
Fincas de secano;03 Alicante/Alacant;Total;Número de hipotecas;2002;836
Fincas de secano;03 Alicante/Alacant;Total;Número de hipotecas;2001;639
Fincas de secano;03 Alicante/Alacant;Total;Número de hipotecas;2000;694
Fincas de secano;03 Alicante/Alacant;Total;Número de hipotecas;1999;672
Fincas de secano;03 Alicante/Alacant;Total;Número de hipotecas;1998;614
Fincas de secano;03 Alicante/Alacant;Total;Número de hipotecas;1997;670
Fincas de secano;03 Alicante/Alacant;Total;Número de hipotecas;1996;626
Fincas de secano;03 Alicante/Alacant;Total;Número de hipotecas;1995;875
Fincas de secano;03 Alicante/Alacant;Total;Número de hipotecas;1994;938
Fincas de secano;03 Alicante/Alacant;Total;Importe de hipotecas;2003;129.755
Fincas de secano;03 Alicante/Alacant;Total;Importe de hipotecas;2002;114.533
Fincas de secano;03 Alicante/Alacant;Total;Importe de hipotecas;2001;69.272
Fincas de secano;03 Alicante/Alacant;Total;Importe de hipotecas;2000;57.373
Fincas de secano;03 Alicante/Alacant;Total;Importe de hipotecas;1999;35.255
Fincas de secano;03 Alicante/Alacant;Total;Importe de hipotecas;1998;37.263
Fincas de secano;03 Alicante/Alacant;Total;Importe de hipotecas;1997;33.681
