Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Régimen y estado;Periodo;Total
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2012;7.067
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2011;9.411
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2010;9.412
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2009;10.704
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2008;13.757
Total Nacional;01 Andalucía;04 Almería;Vivienda libre;2007;20.594
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2021;680
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2020;458
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2019;589
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2018;491
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2017;417
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2016;346
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2015;256
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2014;260
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2013;353
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2012;394
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2011;473
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2010;433
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2009;322
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2008;567
Total Nacional;01 Andalucía;04 Almería;Vivienda protegida;2007;878
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2021;16.305
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2020;11.115
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2019;13.661
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2018;13.440
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2017;10.875
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2016;10.317
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2015;9.076
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2014;7.777
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2013;7.159
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2012;8.041
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2011;9.142
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2010;11.497
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2009;11.474
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2008;16.589
Total Nacional;01 Andalucía;11 Cádiz;Viviendas: Total;2007;22.951
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2021;4.104
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2020;2.550
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2019;3.466
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2018;3.136
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2017;2.714
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2016;2.876
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2015;2.701
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2014;3.338
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2013;3.689
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2012;4.599
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2011;5.204
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2010;6.992
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2009;7.579
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2008;11.029
Total Nacional;01 Andalucía;11 Cádiz;Vivienda nueva;2007;15.486
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2021;12.201
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2020;8.565
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2019;10.195
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2018;10.304
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2017;8.161
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2016;7.441
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2015;6.375
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2014;4.439
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2013;3.470
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2012;3.442
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2011;3.938
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2010;4.505
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2009;3.895
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2008;5.560
Total Nacional;01 Andalucía;11 Cádiz;Vivienda usada;2007;7.465
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2021;13.940
Total Nacional;01 Andalucía;11 Cádiz;Vivienda libre;2020;9.435
